"","memory CD4+ T cells","memory CD8+ T cells","naive CD4+ T cells","naive CD8+ T cells","NKT","MAIT","Tregs","NK","Plasma cells","pre-B cells","cDC","pDC","Monocytes","Basophils","Neutrophils"
"CARD9_HSPD1_ITGB2",0.22,0.27,0.28,0.19,0,0.25,0.48,0.2,2.08,0.13,1.16,33.21,14.63,0,0.04
"CARD9_HMGB1_HSPD1",0.37,0.29,0.3,0.19,0,0.33,0.48,0.21,2.5,0.17,1.73,33.21,14.51,0,0.04
"DUSP22_NDFIP1_STAT6",1.12,1.68,1.47,2.83,1.78,0.59,1.77,1.27,10,3.58,9.83,33.21,17.99,0.29,0.07
"CDK5RAP3_FLT3_ZFP36L2",0,0.02,0,0,0,0,0,0.01,0.42,0.04,16.18,33.21,1.91,0,0
"ARRB2_PPP3CA_REST",4.03,5.06,1.25,1.89,6.58,3.26,5.31,3.8,10.42,2.85,12.14,33.21,16.02,1.15,0.37
"HIF1A_IL17RA_REST",1.72,0.98,1.05,1.79,1.64,0.84,3.7,0.36,1.67,0.95,7.51,33.21,15.17,0.57,0.37
"ANXA1_CCR2_GPR183",4.85,1.03,0.19,0.19,0.27,5.52,1.61,0.03,1.67,0,9.25,33.21,3.54,1.43,0.04
"HIF1A_KLF4_PTK2B",0.11,0.03,0.06,0.09,0.41,0,0,0.09,0.83,0.3,4.05,33.21,20.46,0,0.07
"JAK2_PRKX_STAT1",1.08,0.78,0.28,0.09,1.51,0.67,2.74,0.61,8.75,0.47,6.94,33.21,15.61,0.29,0.11
"GAS6_JAK1_SPI1",0,0,0,0,0,0,0,0.01,5,0,13.87,33.21,3.44,0.29,0
"FKBP1A_RBPJ_SLC40A1",1.86,0.37,2.21,1.89,0,0.5,0.48,0.07,0,0.04,15.03,33.21,13.96,3.15,1
"NFE2L2_PTPN1_STAT6",2.05,1.9,1.58,2.17,2.47,0.75,3.7,1.67,6.25,3.49,13.87,33.21,11.45,0,0.11
"KLF4_PARP1_TP53",0,0.1,0.03,0.09,0,0,0.48,0.11,2.5,0.6,2.31,33.21,7.55,0,0.04
"CYLD_STAT3_TP53",3.91,3.7,4.1,4.15,4.38,2.59,6.92,2.19,11.25,3.58,17.34,33.21,10.22,0,0.22
"HIF1A_PHB2_SETD2",2.8,1.65,1.77,1.61,1.64,1.34,4.03,1.18,7.92,3.62,15.03,33.21,12.13,0.29,0.15
"HIF1A_SETD2_ZFP36L1",2.39,2.08,1.55,1.98,3.15,1.84,3.86,1.38,2.92,4.4,7.51,33.21,16.48,0,1.04
"HLA-DOA_LILRB2",0,0.03,0.03,0,0,0,0,0.01,0,0.69,9.25,32.85,3.06,0,0
"IL18_NLRP3",0,0.02,0,0,0,0,0,0.01,0,0,2.31,32.85,9.38,0,0
"CD74_CD86_PMAIP1",0,0.05,0.03,0,0,0.08,0.32,0.03,5.83,2.16,0.58,32.85,15.31,0.29,0
"CXCR4_HIF1A_SELENOK",5.29,4.35,3.77,5.85,3.42,6.69,4.19,1.75,4.17,6.25,15.61,32.85,11.43,1.15,1.04
"CCR2_CXCR4_ID2",1.98,1.05,0.03,0.28,0.41,9.03,0.97,0.05,1.25,0,3.47,32.85,10.38,0.86,0.04
"ANXA1_IRF4_NOTCH2",0.11,0.17,0.14,0,0,0.08,0,0.21,1.67,0.26,4.62,32.85,4.59,0,0
"FOS_IRF4_NOTCH2",0.04,0.06,0.11,0,0,0.08,0,0.04,3.75,0.65,13.87,32.85,4.69,0,0.04
"CDK6_SPI1_TYROBP",0,0.06,0,0,0.41,0.08,0,0.21,4.17,0.3,13.29,32.85,10.52,0.29,0.26
"HSP90AB1_LYN_NOD2",0.04,0.06,0.03,0,0.27,0,0,0.25,4.58,0.3,1.16,32.85,18.21,0.29,0.22
"HIF1A_SETD2_TSC22D3",3.88,2.94,2.33,3.12,3.42,2.26,4.67,1.95,5.42,5.13,11.56,32.85,15.88,1.15,0.63
"HLA-DOA_HLA-DRA_LILRB2",0,0.02,0,0,0,0,0,0.01,0,0.69,9.25,32.85,3.06,0,0
"HIF1A_NFE2L2_STAT3",2.31,1.78,1.94,2.27,2.88,1.92,2.74,1.23,5.42,1.55,13.87,32.85,15.65,0.29,1.04
"APP_CEBPB_HIF1A",0.63,0.14,0.66,0.94,0,0.25,1.13,0.03,0.83,0.99,5.2,32.85,20.06,0.29,0.26
"CD74_CLEC4A_PMAIP1",0.04,0.05,0,0,0.14,0.17,0,0.07,1.25,0.47,1.73,32.85,16.48,0,0.19
"AKT1_JAK2_SELPLG",0.3,0.83,0.17,0.28,2.33,0.5,1.61,1.13,7.08,0.09,14.45,32.85,11.91,0.57,0
"GAS6_LYN_SPI1",0,0,0,0,0,0,0,0,3.75,0,12.14,32.85,4,0.29,0
"HIF1A_OAS2_RBPJ",1.34,0.63,0.64,0.28,0.82,0.84,4.03,0.32,7.92,0.82,7.51,32.85,14.57,0,0.37
"CD33_FKBP1A_SLC40A1",0.07,0,0.14,0.09,0,0,0,0,0,0,1.16,32.85,14.43,1.43,0.26
"ARRB2_CIITA_G6PD",0.04,0.43,0,0.19,1.1,0.08,0.48,0.64,0,1.38,9.83,32.85,17.99,0,0.07
"HIF1A_PIP4K2A_REST",4.03,3.4,2.13,2.64,5.48,3.43,5.48,2.48,3.75,2.93,13.87,32.85,9.11,0.57,0.37
"FOS_HSF1_OTUB1",3.36,2.06,0.94,1.42,3.01,4.43,2.25,2.44,14.17,2.03,10.4,32.85,14.89,0,0.22
"DHX36_FOS_HSF1",4.55,2.52,1.44,1.98,3.84,6.19,2.58,2.32,12.08,2.37,15.03,32.85,12.88,0,0.33
"HSF1_RBPJ_STAT3",3.65,2.02,1.97,2.83,2.19,2.01,4.99,1.39,11.25,1.85,11.56,32.85,12.7,0.29,0.07
"ERCC1_KLF4_PTK2B",0,0.06,0.03,0,0.14,0.08,0.16,0.16,1.67,0.26,6.36,32.85,17.97,0,0.07
"FLOT2_IFNGR1_PICALM",0.56,1.19,0.14,0.28,2.6,0.84,0.81,1.02,3.75,1.25,5.78,32.85,20.1,0,0.59
"IL1B_SOD1",0.19,0.25,0.28,0.28,0,0.17,0.16,0.07,0.83,0.3,14.45,32.48,12.66,0,1.26
"CARD9_HSP90AB1_HSPD1",0.41,0.25,0.28,0.19,0,0.25,0.16,0.19,2.5,0.17,1.73,32.48,13.66,0,0.04
"IRF4_JUNB_NOTCH2",0,0.16,0.22,0,0,0.08,0,0.13,6.67,1.68,13.29,32.48,4.75,0,0.04
"CXCR4_DHX36_HIF1A",5.37,4.24,4.43,5.29,3.97,6.27,4.99,1.53,2.92,6.38,14.45,32.48,9.92,0.57,0.59
"EZR_NFE2L2_PRNP",3.09,2.84,1.16,1.61,3.42,4.18,6.12,1.83,12.92,2.16,6.94,32.48,12.8,0,0.11
"CEBPA_CEBPB_ORAI1",0.3,0.98,0,0,1.78,0.75,0,1.31,0,0.09,0.58,32.48,17.95,0.57,0.07
"CXCR4_NFE2L2_SOD2",4.62,2.56,3.85,4.82,2.6,4.68,3.7,0.8,2.5,3.1,4.62,32.48,16.54,0.86,3.37
"GAS6_NCKAP1L_SPI1",0.04,0,0,0,0,0,0,0,3.33,0,10.98,32.48,3.8,0,0
"KLF4_PARP1_PIK3R1",0.37,0.16,0.25,0.09,0.27,0.17,0.81,0.33,1.25,0.47,2.31,32.48,9.42,0,0.19
"DHX36_HIF1A_NFE2L2",2.27,1.95,1.88,2.74,3.42,2.26,3.38,1.31,5.42,2.76,15.03,32.48,11.85,0,0.3
"APP_HIF1A_KLF4",0,0.02,0.06,0.09,0,0,0,0,0,0.22,3.47,32.48,16.34,0,0.04
"EP300_HIF1A_NFE2L2",1.16,1.05,0.91,1.23,1.78,1.25,2.25,0.66,5,1.72,12.72,32.48,14.61,0,0.37
"ADCY7_AKT1_PABPC4",1.68,1.48,0.55,1.42,2.47,1.09,3.7,1.49,9.58,0.91,6.94,32.48,14.23,0,0.04
"BLOC1S2_KIF5B_RAB29",4.47,6.81,1.91,2.93,8.63,4.6,10.14,5.09,16.25,7.33,11.56,32.48,10.64,0.29,0.3
"ARIH2_ARRB2_CXCR4",5.56,7.92,3.46,6.52,6.99,7.53,7.25,3.94,3.75,2.46,14.45,32.48,10.62,1.43,0.7
"IL18_IRF4",0,0.02,0,0,0,0,0,0.01,0.42,0.09,11.56,32.12,1.67,0,0
"ANXA1_IL18_IRF4",0,0.02,0,0,0,0,0,0.01,0,0.04,3.47,32.12,1.65,0,0
"CEBPA_CEBPD_EIF2AK1",0,0.05,0,0,0.27,0.5,0.16,0.42,0,0,0,32.12,16.32,0,0.11
"CD47_PTGER4_PYCARD",3.65,5.44,1.25,1.79,7.81,2.84,7.25,6.53,1.25,0.95,7.51,32.12,18.07,0.57,0.22
"HIF1A_NR1H2_RBPJ",1.49,0.79,1.08,1.04,0.68,0.92,1.77,0.46,5.83,1.51,9.25,32.12,13.86,0,0.15
"ARRB2_CXCR4_XIAP",6.11,7.17,3.13,6.14,7.53,8.61,6.12,3.39,4.17,2.85,14.45,32.12,14.65,1.43,0.82
"CTNNB1_CXCR4_HIF1A",2.91,2.48,2.02,3.21,2.19,3.26,2.9,1.12,1.67,4.01,12.14,32.12,12.76,0.86,0.41
"AKT1_JAK2_MKNK2",0.19,0.49,0.28,0.28,0.96,0.42,1.77,0.65,10.42,0.86,8.09,32.12,9.66,0,0.04
"ARIH2_CXCR4_ID2",4.47,12.37,2.91,8.31,12.74,12.46,3.54,8.38,2.92,0.47,4.05,32.12,7.67,1.15,0.22
"CXCR4_ID2_ZMIZ1",0.82,2.25,0.42,1.04,2.33,2.26,0.97,1.46,1.25,0.13,4.62,32.12,9.22,0.57,0.22
"ADAM17_AKIRIN1_RBPJ",2.16,1.54,0.8,0.76,1.64,1.92,3.86,0.68,10.42,1.51,9.25,32.12,13.06,0,0.19
"EZR_PTAFR_PTPN2",0.26,0.24,0.11,0.19,0.41,0.08,0.32,0.12,1.25,1.47,1.73,32.12,18.97,0,0.19
"HIF1A_REST_YTHDF2",3.21,2.11,1.77,1.89,2.74,2.01,3.86,1.3,9.17,2.98,17.92,32.12,10.2,0.86,0.11
"APOBEC3G_BLOC1S6_TET2",0.78,1.29,0.3,0.28,1.78,1,1.93,1.71,11.25,1.51,10.4,32.12,10.3,0.29,0.07
"ALOX5_JARID2_MEF2C",0,0,0,0,0,0,0,0.01,2.92,5.86,1.16,32.12,19.3,0.29,0.11
"EIF2AK4_SQSTM1_TFEB",0.15,0.48,0.06,0.19,0.96,0,0,0.53,14.58,1.98,4.05,32.12,7.99,0,0.07
"AIF1_FCGR2B_LRP1",0,0,0,0,0,0,0,0.01,0,0.04,0,32.12,6.68,0,0
"AP3D1_DNM2_RAB32",0,0.03,0,0,0,0,0,0.07,0,0.09,6.36,32.12,11.61,0,0
"HPRT1_HSP90AB1_PICALM",2.61,3.21,0.83,1.89,3.42,2.76,5.64,2.46,8.33,1.6,14.45,32.12,15.27,0,0.3
"CEBPA_EIF2AK1_LYN",0,0.16,0,0,1.23,0,0,0.74,0,0,1.16,31.75,16.9,0,0.11
"CXCR4_PTGER4_PYCARD",3.69,4.6,1.55,2.46,4.66,4.1,3.38,2.71,0.83,0.95,6.94,31.75,12.72,0.29,0.59
"CARD9_FGR_HSPD1",0,0.13,0,0,0,0.17,0,0.13,0.83,0.09,0,31.75,14.31,0,0.04
"EZR_HIF1A_HSPA1A",2.72,1.73,0.66,0.28,1.78,1.25,3.7,0.85,3.33,2.11,8.09,31.75,18.93,0.29,0.22
"PAK1_PLCG2_TYROBP",0,0.11,0,0,0.55,0.08,0,0.76,7.5,0.39,8.09,31.75,16.9,0.57,0.41
"BCL6_CD55_PTPN6",0.11,0.25,0.08,0.28,0.14,0.42,0.16,0.28,2.08,2.46,1.16,31.75,19.2,1.72,1.11
"IL18_NLRP3_ROCK1",0,0,0,0,0,0,0,0.01,0,0,2.31,31.75,7.81,0,0
"CXCR4_NFE2L2_NR1H2",3.65,3.35,3.96,5.85,4.11,4.6,3.06,1.47,5.42,4.79,16.76,31.75,8.19,0.29,0.11
"APP_CASP4_HIF1A",0.89,0.27,0.94,0.76,0.14,0.33,1.77,0.05,1.25,1.9,9.83,31.75,17.67,0.29,0.11
"AKIRIN1_ANXA1_CCR2",2.35,0.68,0.17,0.09,0.41,4.6,1.29,0.07,2.5,0,8.09,31.75,16.6,0.86,0.11
"HIF1A_KLF4_SETD2",0.11,0.02,0.08,0.09,0.14,0,0.48,0.09,0.83,0.26,2.31,31.75,13.76,0,0.11
"IL1B_PARK7_SOD1",0.15,0.11,0.19,0.28,0,0,0.16,0.05,0.83,0.22,14.45,31.75,11.37,0,0.52
"ICAM1_RAC1_ZYX",0.37,0.54,0.08,0,0.68,0.08,0.16,0.48,1.25,0,6.36,31.75,19.74,0.29,0.74
"AKIRIN1_HSF1_RBPJ",2.98,1.29,1.5,1.79,2.05,1.92,4.83,0.82,10,1.38,9.25,31.75,9.42,0,0.04
"CD300A_IKBKB_MYD88",0.56,1.3,0.03,0.09,3.56,0.67,1.13,1.79,0.83,0.13,14.45,31.75,12.7,0,0.04
"BLOC1S2_BLOC1S6_HPRT1",1.83,1.43,0.86,0.66,1.23,1.51,3.86,0.97,5.83,2.59,10.98,31.75,7.2,0.29,0
"BLOC1S2_BLOC1S6_HSPA1A",1.79,1.79,0.83,0.09,2.33,1.51,4.83,1.29,5,2.29,8.09,31.75,17.77,0.57,0.11
"EIF2AK4_PJA2_TFEB",0.19,0.43,0.08,0,1.1,0.08,0.48,0.49,14.58,1.29,3.47,31.75,7.22,0,0
"IL18_IL1B",0,0,0,0,0,0,0,0.01,0,0,11.56,31.39,5.61,0,0.11
"BLOC1S2_BLOC1S6_CD2",5.93,6.83,4.07,5.1,6.3,4.93,9.82,4.51,2.92,0.52,4.62,31.39,1.61,0.29,0.22
"CD55_CXCR4_HIF1A",2.27,1.51,3.32,5.57,1.37,3.43,2.74,0.62,3.75,7.81,12.72,31.39,13.36,1.72,1.19
"ANXA1_KLF4_SIRT2",0.48,0.38,0.17,0.19,0.55,0.33,0.64,0.52,0,0,4.62,31.39,19.48,0,0.04
"CTNNB1_CTR9_KLF4",0.37,0.06,0.06,0.28,0.14,0.08,0.64,0.15,1.67,0.13,2.31,31.39,15.88,0,0.11
"HSPA9_NFE2L2_PIK3R1",5.07,5.1,3.68,5.1,7.4,5.02,7.89,3.48,12.92,2.2,14.45,31.39,8.85,0.29,0.07
"PAK1_PLCG2_RBPJ",0,0.11,0,0,0.14,0.08,0,0.15,16.25,0.52,3.47,31.39,12.23,0.86,0.04
"HIF1A_REST_STAT3",3.84,2.92,2.66,2.74,4.11,1.59,4.67,1.67,6.25,2.41,15.61,31.39,12.54,1.72,0.33
"CEBPB_HIF1A_SETD2",1.83,1.49,1.14,1.04,2.33,0.92,2.58,1.27,5.83,1.77,4.05,31.39,16.92,0.29,1
"CTNNB1_RBPJ_ZMIZ1",0.56,0.51,0.22,0.09,0.55,0.5,1.13,0.49,2.08,0.52,9.83,31.39,14.49,0,0.19
"CDC42_HCLS1_PIP5K1C",2.76,4.52,2.66,2.74,8.9,2.42,7.57,4.79,6.67,3.67,15.61,31.39,13.8,0.29,0.3
"JAK2_PTPN1_STAT6",0.52,0.59,0.14,0.38,1.1,0.17,1.45,0.33,5.42,1.38,9.25,31.39,9.64,0,0
"KAT8_PRMT1_SPI1",0.07,0.08,0.14,0.19,0.14,0,0.16,0.08,8.75,3.84,5.78,31.39,8.27,0,0.07
"IL1B_NFKBIA_SOD1",0.04,0.11,0.06,0.09,0,0.17,0.16,0.03,0.42,0.26,12.72,31.39,11.79,0,0.74
"FOS_HSF1_PRKCD",0.52,0.4,0.06,0,0.55,0.75,0.32,0.4,9.58,1.21,6.36,31.39,16.12,0.29,0.04
"KLF4_NFE2L2_PRNP",0.26,0.05,0.03,0.09,0,0.17,0.48,0.13,0,0.04,1.16,31.39,16.72,0.29,0
"APP_KLF4_PTK2B",0,0.02,0.03,0,0,0,0,0,0.42,0.3,5.2,31.39,18.69,0,0
"ID2_PPP3CA_TP53",0.75,2.68,0.33,1.23,4.25,2.68,0.81,3.17,3.75,0.26,2.89,31.39,8.91,0,0.04
"CDC42_MSN_PIP5K1C",3.21,5.84,2.3,2.46,9.04,3.26,6.92,6.43,6.25,3.32,12.14,31.39,14.67,0.29,0.22
"DHX36_HSF1_RBPJ",3.47,1.97,1.72,2.36,2.74,2.59,6.12,1.55,12.5,1.77,10.98,31.39,10.12,0,0.15
"EZR_PTAFR_SOD1",0.41,0.32,0.17,0.19,0.68,0.17,0.97,0.19,1.67,2.41,2.89,31.39,18.39,0,0.22
"BATF3_HAVCR2",0,0,0.03,0,0.14,0,0,0.05,0,0.04,0,31.02,4.67,0,0
"CD81_HAVCR2",0.52,1.76,0.47,0.76,9.32,0.75,5.48,14.57,1.25,0.34,2.31,31.02,11.45,0.29,0.19
"CD200R1_GRN",1.45,0.17,0.47,0.09,0.14,0.08,0.97,0.04,1.67,1.12,0.58,31.02,1.47,1.15,0.07
"CRK_MAP2K1",3.39,2.49,2.1,3.4,2.19,2.59,4.51,1.7,10,3.62,12.14,31.02,15.49,0,0.26
"RAB34_TFEB",0.15,0.27,0.08,0.38,0.41,0,0,0.13,3.75,2.37,4.62,31.02,10.91,0.29,0
"CXCR4_DDX3X_PTGER4",10.33,8.02,4.26,8.4,6.44,13.55,5.96,4.33,0.83,2.03,6.94,31.02,12.56,0,0.7
"CD200R1_GRN_ITGB2",1.34,0.11,0.33,0.09,0.14,0.08,0.97,0.03,1.25,0.91,0.58,31.02,1.47,0.86,0.07
"BLOC1S6_CD2_KYNU",0.04,0.06,0,0,0.27,0,0,0.05,2.5,0.13,2.89,31.02,1.75,0,0
"JAK2_PARP14_PARP9",0.63,0.54,0.14,0.09,1.78,0.33,1.77,0.65,5,0.69,1.73,31.02,16.4,0,0.22
"ARRB2_HSF1_PTPN2",2.72,3.02,1.55,2.74,4.52,3.01,7.25,2.6,8.75,2.2,12.72,31.02,15.31,0,0.15
"CXCR4_GPR183_HIF1A",7.01,2.62,4.29,1.89,1.37,4.85,5.48,0.2,2.5,4.79,14.45,31.02,1.93,0.86,0.22
"CTNNB1_KLF4_TP53",0.04,0.08,0.06,0,0,0.08,0.16,0.12,1.67,0.34,1.73,31.02,13.7,0,0
"BATF3_HAVCR2_MSN",0,0,0.03,0,0.14,0,0,0.05,0,0.04,0,31.02,4.63,0,0
"CDC42_RBPJ_SIN3A",5.26,4.4,3.43,4.15,3.01,3.93,8.21,2.56,9.58,3.32,15.61,31.02,12.62,0,0.37
"JUNB_RBPJ_SIN3A",4.62,3.75,2.3,3.31,2.33,4.1,5.96,2.04,5.42,2.07,9.83,31.02,12.8,0,0.63
"RBPJ_RTN4_SIN3A",3.24,2.6,1.91,2.46,2.47,2.09,6.6,1.61,7.5,1.9,13.87,31.02,12.09,0,0.3
"CLEC7A_CXCR4_DHX36",0.48,0.81,0.78,1.04,0.55,0.75,0.81,0.25,0.83,0.52,0.58,31.02,16.84,0.29,0.59
"AIF1_CX3CR1_PIK3R1",0.07,2.78,0.36,0.38,3.7,0.08,0.48,2.14,0,0,1.73,31.02,18.19,0.29,0.41
"EZR_IREB2_PRNP",3.54,3.97,1.14,1.42,2.88,3.51,6.44,2.31,10.83,2.29,13.87,31.02,10.74,0,0.04
"LGALS9_RARA_TGFBR2",0.41,0.24,0.08,0.09,0.41,0.08,2.09,0.15,0.83,0.82,2.89,31.02,19.42,0,0.15
"CD81_HAVCR2_MSN",0.34,1.6,0.28,0.38,8.77,0.59,5.15,13.09,1.25,0.3,2.31,31.02,11.31,0,0.15
"AKIRIN1_CD2_FLOT2",7.72,7.02,4.98,4.72,7.81,6.27,16.1,3.88,4.58,0.26,2.89,31.02,1.49,0,0.48
"ADCY7_AKT1_MKNK2",1.68,2.4,0.33,0.57,3.84,1.84,5.96,2.38,6.25,1.51,8.67,31.02,11.91,0.29,0.15
"CX3CR1_FCGR2B_RAB10",0,0.17,0,0,0.55,0,0,0.21,1.25,0.09,0,31.02,5.05,0,0
"HIF1A_KLF4_SELENOS",0.11,0.06,0.08,0.28,0.14,0.08,0.32,0.13,0.83,0.26,4.62,31.02,17.14,0,0.04
"ADCY7_AKT1_JAK2",0.19,0.25,0,0.09,1.37,0.08,0.81,0.6,3.33,0.22,5.78,31.02,10.99,0.29,0
"ACTR2_CRK_MAP2K1",2.61,1.87,1.55,2.27,1.92,1.59,4.03,1.25,8.75,2.67,12.14,31.02,15.27,0,0.11
"BLOC1S6_HPRT1_RAB10",1.53,1.25,0.53,0.66,2.19,0.84,2.42,0.66,8.33,1.38,13.87,31.02,10.5,0,0.11
"ID2_TNFSF10_TP53",1.68,1.98,1.02,1.32,3.7,2.17,2.42,1.78,2.08,0.22,1.16,31.02,16.94,0.86,0.07
"HSF1_OTUB1_RBPJ",2.57,1.81,1.08,1.13,1.64,2.09,5.96,1.41,13.75,1.68,5.78,31.02,11.73,0,0.07
"BLOC1S2_BLOC1S6_RAB29",1.94,3.87,1.27,1.89,4.38,2.93,6.12,3.07,13.33,6.6,6.94,31.02,7.28,0.29,0.15
"HSF1_IL18_ROCK1",0.07,0.08,0,0,0,0,0,0.31,0.42,0.09,12.14,31.02,6.48,0,0
"LFNG_LSM14A_YTHDF2",3.21,3.7,2.19,3.31,5.07,3.18,11.11,3.33,5,5.48,6.36,31.02,16.48,0.57,0.07
"ARRB2_CXCR4_ZMIZ1",1.19,1.48,0.55,1.04,0.96,1,1.77,0.6,1.25,0.3,8.09,31.02,12.66,1.15,0.37
"GRN_RAB34_TFEB",0,0,0,0,0.14,0,0,0.03,2.08,0.86,4.62,31.02,10.76,0.29,0
"HIF1A_TP53",2.13,1.71,1.8,2.64,3.15,1.76,3.7,1.2,8.75,5.05,13.87,30.66,14.19,0.57,0.26
"AKT1_ITGA4_JAK2",0.3,0.89,0.33,0.19,2.19,0.75,1.93,0.9,13.33,0.78,9.83,30.66,9.96,0,0
"ADCY7_AKT1_ITGA4",1.68,4,0.69,1.13,6.85,2.17,4.83,4.45,8.75,0.91,10.4,30.66,12.84,0,0.07
"ARRB2_CIITA_GPR108",0.19,0.52,0,0,0.96,0.17,0.64,0.4,0.83,2.41,9.83,30.66,13.42,0,0.07
"HIF1A_HSPA9_NFE2L2",2.09,1.3,1.19,1.79,2.33,1.17,1.93,0.85,7.92,1.68,13.87,30.66,10.85,0.29,0.04
"BLOC1S2_HIF1A_IL17RA",1.23,0.57,0.72,0.94,1.37,0.25,3.38,0.33,2.92,1.12,5.78,30.66,18.55,0.57,0.56
"BLOC1S2_CXCR4_HIF1A",3.43,2.21,2.35,2.46,2.88,3.43,3.38,0.89,2.08,8.11,12.72,30.66,9.52,0.86,0.67
"CYLD_PTGER4_PYCARD",3.95,3.95,1.44,1.7,5.62,3.09,6.92,3.29,1.25,0.65,6.36,30.66,15.45,0.29,0.44
"ANXA1_RBPJ_SIN3A",5.37,4.52,2.46,1.7,2.88,4.77,6.76,2.51,2.92,0.39,7.51,30.66,12.45,0,0.37
"ANXA1_PIK3CD_REST",7.2,7.56,5.48,4.53,9.04,7.11,10.63,5.84,1.25,0.43,9.25,30.66,15.43,2.29,0.37
"ARHGEF2_DDX3X_PTPN22",2.24,4.73,1.44,2.08,7.26,4.6,5.48,5.07,15.83,5.09,12.14,30.66,6.38,0,0.15
"CD81_HAVCR2_PARK7",0.34,1.44,0.42,0.57,8.36,0.5,4.99,11.13,1.25,0.26,2.31,30.66,10.64,0,0.15
"CLEC7A_CNOT7_DHX36",0.07,0.51,0.44,0.66,0.82,0.17,0.81,0.21,1.67,0.26,1.16,30.66,19.82,0.29,0.22
"AKIRIN1_FLOT2_PICALM",1.38,1.76,0.3,0.76,3.01,0.84,3.06,1.17,6.67,1.42,10.4,30.66,14.73,0,0.67
"HIF1A_PPIA_TP53",2.09,1.68,1.69,2.55,2.88,1.67,3.7,1.17,8.75,4.96,13.87,30.66,13.78,0.57,0.11
"KLF4_NFE2L2_PIK3R1",0.26,0.14,0.28,0.19,0.55,0.33,0.48,0.19,0.83,0.26,1.73,30.66,14.06,0.29,0.04
"HIF1A_HMGB1_TP53",2.13,1.68,1.74,2.64,3.15,1.76,3.7,1.17,8.75,4.79,13.87,30.66,13.96,0.57,0.22
"KLF4_MAP2K7_PARP1",0.19,0.1,0.06,0.19,0.14,0.17,1.29,0.15,4.17,0.47,1.16,30.66,9.05,0,0
"FTH1_HIF1A_TP53",2.13,1.71,1.8,2.64,3.01,1.76,3.7,1.2,8.75,5.05,13.87,30.66,14.19,0,0.26
"CDC42_HIF1A_TP53",1.9,1.62,1.66,2.36,3.01,1.51,3.54,1.12,8.75,4.57,13.29,30.66,13.9,0.29,0.19
"CYBA_HIF1A_TP53",2.05,1.67,1.63,2.36,3.01,1.76,3.7,1.18,8.33,5.05,13.87,30.66,14.19,0.57,0.19
"HIF1A_SLC25A5_TP53",1.49,1.17,1.16,1.79,2.05,1.25,3.06,0.78,8.75,4.05,13.87,30.66,13.36,0.29,0.11
"KLF4_MEF2C_ST6GAL1",0.04,0,0,0,0.14,0,0,0.03,4.17,1.16,5.2,30.66,10.48,0,0.04
"CRK_MAP2K1_RHOG",1.94,1.41,0.89,1.7,1.64,1.42,3.38,0.74,6.25,1.55,6.94,30.66,14.87,0,0.11
"APP_CXCR4_HIF1A",1.12,0.27,1.44,1.04,0.14,0.59,1.13,0.07,0,2.37,17.92,30.66,9.42,1.15,0.11
"ANXA1_APP_ARIH2",1.79,0.79,2.08,1.61,0.41,0.42,2.25,0.36,1.25,0.22,11.56,30.66,11.81,0.57,0.07
"MIF_TNFSF10_TP53",3.95,1.79,1.69,2.46,2.88,1.92,6.44,1.17,12.08,3.19,4.62,30.66,13.28,0,0.19
"G3BP2_KLF4_TP53",0.07,0.05,0.03,0.19,0.14,0,0.81,0.07,1.67,0.26,2.89,30.66,11.93,0,0.04
"KCNQ1_RBPJ",1.64,0.3,1.5,1.51,0.14,0.33,2.09,0.04,7.92,2.16,1.16,30.29,16.28,0,0.26
"CXCR4_PLEK_PTGER4",1.72,7.95,0.22,0.38,7.53,7.86,1.61,5.15,0.42,1.08,6.94,30.29,12.05,0,0.59
"FES_IRF7_ISG15",0,0.16,0,0,2.05,0.08,0,1.23,6.67,1.03,12.72,30.29,14.45,0,0.15
"IL18_IL1B_NFKBIA",0,0,0,0,0,0,0,0,0,0,11.56,30.29,5.33,0,0.04
"CD200R1_CTSH_GRN",0.26,0.03,0,0,0,0.08,0,0,1.67,0.82,0,30.29,1.27,0.29,0
"RBPJ_SIN3A_TGFB1",3.54,3.94,1.99,2.17,2.47,3.85,6.76,2.32,5.83,1.77,12.14,30.29,11.61,0,0.3
"HAVCR2_LGALS9_RARA",0,0.03,0,0,0.14,0,0.97,0.07,0,0.09,0,30.29,10,0,0.04
"HAVCR2_LGALS9_OAS1",0.04,0.05,0,0,0.14,0,1.61,0.32,0,0.09,0.58,30.29,11.49,0,0.04
"CTNNB1_EZR_PRNP",4.06,3.98,1,1.04,3.84,3.6,6.76,2.63,9.17,2.72,8.67,30.29,14.81,0,0.22
"ANXA1_KCNQ1_RBPJ",1.64,0.3,0.97,0.85,0.14,0.33,1.77,0.04,0.83,0.3,0,30.29,15.84,0,0.07
"CEBPA_CEBPB_REST",0.22,0.71,0,0.19,1.23,0.42,0.48,0.8,0,0.09,0.58,30.29,19.13,0.57,0.04
"HIF1A_PPP3CA_STAT3",2.01,2,1.08,0.57,3.56,1.51,1.77,1.57,6.67,3.15,13.87,30.29,14.21,0.57,0.82
"AP3D1_RAB32_TGFBR2",0,0.06,0.06,0,0.27,0,0.16,0.04,0,0.04,4.62,30.29,14.29,0,0
"GAS6_HCK_RHOA",0,0,0,0,0,0,0,0,0.42,0,13.87,30.29,3.92,0.29,0
